==================================================
====================  start  ====================
==================================================
2019-04-18 00:02:30.791277
config path:  ../deepSfm/configs/superpoint_kitti_test.yaml
config:  {'data': {'name': 'patches_dataset', 'dataset': 'kitti', 'export_folder': 'train', 'alteration': 'all', 'preprocessing': {'resize': [96, 312]}, 'gaussian_label': {'enable': False, 'sigma': 1.0}, 'homography_adaptation': {'enable': True, 'num': 10, 'aggregation': 'sum', 'filter_counts': 0, 'homographies': {'params': {'translation': True, 'rotation': True, 'scaling': True, 'perspective': True, 'scaling_amplitude': 0.2, 'perspective_amplitude_x': 0.2, 'perspective_amplitude_y': 0.2, 'allow_artifacts': True, 'patch_ratio': 0.85}}}}, 'model': {'name': 'magic_point', 'batch_size': 1, 'detection_threshold': 0.015, 'nms': 4, 'top_k': 600, 'nn_thresh': 0.7}, 'iter_max': 100, 'feature_mode': 2, 'eval_iter': -1, 'save_file': 'logs/experiment_kitti_sequence_sp_pretrained.txt', 'pretrained': '../deepSfm/pretrained/superpoint_v1.pth'}
use model:  ../deepSfm/pretrained/superpoint_v1.pth
feature_type:  superpoint
starting frame:  500
======= OpenCV 5-point, thd=(0.10, 1.00): 0.15, 0.77
======= OpenCV 5-point, thd=(0.10, 1.00): 0.12, 0.69
======= OpenCV 5-point, thd=(0.10, 1.00): 0.12, 0.86
======= OpenCV 5-point, thd=(0.10, 1.00): 0.13, 0.80
======= OpenCV 5-point, thd=(0.10, 1.00): 0.12, 0.79
======= OpenCV 5-point, thd=(0.10, 1.00): 0.07, 0.81
======= OpenCV 5-point, thd=(0.10, 1.00): 0.17, 0.72
======= OpenCV 5-point, thd=(0.10, 1.00): 0.12, 0.84
======= OpenCV 5-point, thd=(0.10, 1.00): 0.14, 0.84
======= OpenCV 5-point, thd=(0.10, 1.00): 0.11, 0.89
======= OpenCV 5-point, thd=(0.10, 1.00): 0.12, 0.77
======= OpenCV 5-point, thd=(0.10, 1.00): 0.11, 0.82
======= OpenCV 5-point, thd=(0.10, 1.00): 0.13, 0.88
======= OpenCV 5-point, thd=(0.10, 1.00): 0.12, 0.80
======= OpenCV 5-point, thd=(0.10, 1.00): 0.09, 0.81
======= OpenCV 5-point, thd=(0.10, 1.00): 0.16, 0.86
======= OpenCV 5-point, thd=(0.10, 1.00): 0.09, 0.84
======= OpenCV 5-point, thd=(0.10, 1.00): 0.05, 0.80
======= OpenCV 5-point, thd=(0.10, 1.00): 0.09, 0.77
======= OpenCV 5-point, thd=(0.10, 1.00): 0.07, 0.71
======= OpenCV 5-point, thd=(0.10, 1.00): 0.07, 0.79
======= OpenCV 5-point, thd=(0.10, 1.00): 0.11, 0.75
======= OpenCV 5-point, thd=(0.10, 1.00): 0.10, 0.79
======= OpenCV 5-point, thd=(0.10, 1.00): 0.12, 0.73
======= OpenCV 5-point, thd=(0.10, 1.00): 0.13, 0.76
======= OpenCV 5-point, thd=(0.10, 1.00): 0.12, 0.75
======= OpenCV 5-point, thd=(0.10, 1.00): 0.15, 0.82
======= OpenCV 5-point, thd=(0.10, 1.00): 0.14, 0.78
======= OpenCV 5-point, thd=(0.10, 1.00): 0.09, 0.65
======= OpenCV 5-point, thd=(0.10, 1.00): 0.05, 0.78
======= OpenCV 5-point, thd=(0.10, 1.00): 0.08, 0.71
======= OpenCV 5-point, thd=(0.10, 1.00): 0.10, 0.74
======= OpenCV 5-point, thd=(0.10, 1.00): 0.10, 0.84
======= OpenCV 5-point, thd=(0.10, 1.00): 0.07, 0.78
======= OpenCV 5-point, thd=(0.10, 1.00): 0.09, 0.72
======= OpenCV 5-point, thd=(0.10, 1.00): 0.32, 0.73
======= OpenCV 5-point, thd=(0.10, 1.00): 0.03, 0.64
======= OpenCV 5-point, thd=(0.10, 1.00): 0.10, 0.76
======= OpenCV 5-point, thd=(0.10, 1.00): 0.09, 0.68
======= OpenCV 5-point, thd=(0.10, 1.00): 0.13, 0.76
======= OpenCV 5-point, thd=(0.10, 1.00): 0.10, 0.83
======= OpenCV 5-point, thd=(0.10, 1.00): 0.12, 0.83
======= OpenCV 5-point, thd=(0.10, 1.00): 0.07, 0.72
======= OpenCV 5-point, thd=(0.10, 1.00): 0.14, 0.58
======= OpenCV 5-point, thd=(0.10, 1.00): 0.02, 0.57
======= OpenCV 5-point, thd=(0.10, 1.00): 0.06, 0.81
======= OpenCV 5-point, thd=(0.10, 1.00): 0.19, 0.78
======= OpenCV 5-point, thd=(0.10, 1.00): 0.09, 0.69
======= OpenCV 5-point, thd=(0.10, 1.00): 0.09, 0.67
======= OpenCV 5-point, thd=(0.10, 1.00): 0.10, 0.80
======= OpenCV 5-point, thd=(0.10, 1.00): 0.05, 0.63
======= OpenCV 5-point, thd=(0.10, 1.00): 0.11, 0.70
======= OpenCV 5-point, thd=(0.10, 1.00): 0.09, 0.72
======= OpenCV 5-point, thd=(0.10, 1.00): 0.02, 0.75
